Time,bitfinex,bitstamp,btcchina,coinbase,huobi,kraken,lakebtc,mtgox,okcoin,others
2014-11-18 00:00:00 UTC,37172.752388,15205.2559529,225743.217600004,,100236.995400004,2129.65022537,25309.21959,,199179.549000012,25538.487768379997
2014-11-19 00:00:00 UTC,17154.96496618,8984.55953867,187245.953300002,,72830.1774000011,1419.02143687,21407.06253,,135084.627000005,24343.746366440002
2014-11-20 00:00:00 UTC,21885.51007141,16380.31768247,212049.961400002,,73600.1619000015,2133.11544253,20589.00103,,159068.199000003,26286.510972329972
2014-11-21 00:00:00 UTC,36251.47466182,15249.88526597,222110.925300001,,82792.5931000012,1903.77204247,18950.79743,,143959.907000006,25998.871325369986
2014-11-22 00:00:00 UTC,15563.57133021,6705.66568625,163894.671300001,,67278.7619000013,1347.2372625,15350.35682,,122176.242000004,13099.917483429997
2014-11-23 00:00:00 UTC,14133.60768722,7962.8788309,163250.779700001,,60243.2316000008,1194.76634385,14817.8339,,104278.628000003,11855.445155399988
2014-11-24 00:00:00 UTC,42068.51018314,19088.27593317,234557.848100004,,128810.429300006,2386.19607883,11315.45968,,204165.061000008,30412.814464549992
2014-11-25 00:00:00 UTC,27198.63433592,16154.12639475,245127.925400002,,144080.962700007,1895.04218587,19903.48175,,239256.887000006,30198.651589879995
2014-11-26 00:00:00 UTC,21003.08260888,13024.2636626,206575.835100002,,92319.9881000019,1998.79771216,20932.24134,,155224.348000013,20963.689817070008
2014-11-27 00:00:00 UTC,7049.53362177,6218.0463325,171010.288600002,,64692.0994000008,1197.63802626,16543.60999,,95355.1020000049,18834.851408419992
2014-11-28 00:00:00 UTC,30530.31316732,13792.2106434,183429.779300003,,113809.041100004,2694.05442675,14807.11412,,169349.495000009,29088.971777550003
2014-11-29 00:00:00 UTC,20412.50570912,7252.09196527,231467.349400002,,103689.000100004,1140.42344219,16427.58776,,236708.377000007,15414.092862650003
2014-11-30 00:00:00 UTC,14311.37454662,3085.29878738,175736.758400002,,45559.3957,729.71734524,11434.91345,,92616.6650000043,10230.602314449998
2014-12-01 00:00:00 UTC,11947.41516531,6937.82496739,142002.042700002,0.05655554,71142.9229000018,1132.1919333,18223.96252,,104110.454000003,28297.74581465
2014-12-02 00:00:00 UTC,11192.78902839,6550.53729056,147687.642500002,15.0136,59128.8285000006,1456.2699445,19267.94719,,88075.0350000024,28587.880048299998
2014-12-03 00:00:00 UTC,14324.21072108,8457.47283908,168700.152200003,0.54660842,54623.098800001,1188.00876465,17362.61032,,92688.9970000011,27838.877134169998
2014-12-04 00:00:00 UTC,13242.28119805,12330.87330712,135103.119100002,0.01,67164.5424000017,1693.80054853,17218.29563,,88611.9450000041,24222.6282426
2014-12-05 00:00:00 UTC,17780.49288202,8602.51463149,119129.469600001,,71546.6018000012,1511.33681452,22639.08193,,102058.284000003,20899.56818953
