Time,50BTC.com,AntPool,BTC Guild,BTC.TOP,BTCC Pool,BW.COM,BitFury,BitMinter,Eligius,F2Pool,SlushPool,Unknown,ViaBTC,ghash.io,others
2009-09-20 00:00:00 UTC,,,,,,,,,,,,3884189.37133184,,,
2009-09-21 00:00:00 UTC,,,,,,,,,,,,3438086.51605044,,,
2009-09-22 00:00:00 UTC,,,,,,,,,,,,1322391.00459377,,,
2009-09-23 00:00:00 UTC,,,,,,,,,,,,1687554.68229593,,,
2009-09-24 00:00:00 UTC,,,,,,,,,,,,4872481.99141551,,,
2009-09-25 00:00:00 UTC,,,,,,,,,,,,4509698.31580648,,,
2009-09-26 00:00:00 UTC,,,,,,,,,,,,4979037.21960098,,,
2009-09-27 00:00:00 UTC,,,,,,,,,,,,4269790.25689897,,,
2009-09-28 00:00:00 UTC,,,,,,,,,,,,4231789.17293582,,,
2009-09-29 00:00:00 UTC,,,,,,,,,,,,4421999.27517784,,,
2009-09-30 00:00:00 UTC,,,,,,,,,,,,4217611.34209037,,,
2009-10-01 00:00:00 UTC,,,,,,,,,,,,4049526.48352305,,,
2009-10-02 00:00:00 UTC,,,,,,,,,,,,3615672.77365043,,,
2009-10-03 00:00:00 UTC,,,,,,,,,,,,2879762.58821081,,,
2009-10-04 00:00:00 UTC,,,,,,,,,,,,2672316.53034679,,,
2009-10-05 00:00:00 UTC,,,,,,,,,,,,2695411.87462203,,,
2009-10-06 00:00:00 UTC,,,,,,,,,,,,2211779.56560479,,,
2009-10-07 00:00:00 UTC,,,,,,,,,,,,2924631.30026216,,,
2009-10-08 00:00:00 UTC,,,,,,,,,,,,3404689.60318898,,,
2009-10-09 00:00:00 UTC,,,,,,,,,,,,4190833.0519373,,,
2009-10-10 00:00:00 UTC,,,,,,,,,,,,3624127.22641447,,,
2009-10-11 00:00:00 UTC,,,,,,,,,,,,3667523.42377106,,,
2009-10-12 00:00:00 UTC,,,,,,,,,,,,2880595.10127431,,,
2009-10-13 00:00:00 UTC,,,,,,,,,,,,2824821.27585531,,,
2009-10-14 00:00:00 UTC,,,,,,,,,,,,3418455.49097956,,,
2009-10-15 00:00:00 UTC,,,,,,,,,,,,3548527.11952057,,,
2009-10-16 00:00:00 UTC,,,,,,,,,,,,3035956.24231286,,,
2009-10-17 00:00:00 UTC,,,,,,,,,,,,2781493.33490882,,,
2009-10-18 00:00:00 UTC,,,,,,,,,,,,3702601.14754366,,,
2009-10-19 00:00:00 UTC,,,,,,,,,,,,5547005.73284133,,,
2009-10-20 00:00:00 UTC,,,,,,,,,,,,4701742.23758657,,,
2009-10-21 00:00:00 UTC,,,,,,,,,,,,4030940.68137025,,,
2009-10-22 00:00:00 UTC,,,,,,,,,,,,4406802.14145652,,,
2009-10-23 00:00:00 UTC,,,,,,,,,,,,4450173.34152929,,,
2009-10-24 00:00:00 UTC,,,,,,,,,,,,3160425.51185065,,,
2009-10-25 00:00:00 UTC,,,,,,,,,,,,3709205.63732642,,,
2009-10-26 00:00:00 UTC,,,,,,,,,,,,3510778.13486225,,,
2009-10-27 00:00:00 UTC,,,,,,,,,,,,3198151.31000942,,,
2009-10-28 00:00:00 UTC,,,,,,,,,,,,3426007.27019579,,,
2009-10-29 00:00:00 UTC,,,,,,,,,,,,2166748.87166327,,,
2009-10-30 00:00:00 UTC,,,,,,,,,,,,3049211.81072734,,,
2009-10-31 00:00:00 UTC,,,,,,,,,,,,2249416.44312373,,,
2009-11-01 00:00:00 UTC,,,,,,,,,,,,1239643.28480552,,,
2009-11-02 00:00:00 UTC,,,,,,,,,,,,1660347.69654655,,,
2009-11-03 00:00:00 UTC,,,,,,,,,,,,3085608.02261877,,,
2009-11-04 00:00:00 UTC,,,,,,,,,,,,3116022.61329403,,,
2009-11-05 00:00:00 UTC,,,,,,,,,,,,2932104.53292452,,,
2009-11-06 00:00:00 UTC,,,,,,,,,,,,3000732.15708635,,,
2009-11-07 00:00:00 UTC,,,,,,,,,,,,3478645.21814255,,,
2009-11-08 00:00:00 UTC,,,,,,,,,,,,3519437.53909705,,,
2009-11-09 00:00:00 UTC,,,,,,,,,,,,3188653.87093556,,,
2009-11-10 00:00:00 UTC,,,,,,,,,,,,3900061.10838436,,,
2009-11-11 00:00:00 UTC,,,,,,,,,,,,3160715.06369083,,,
2009-11-12 00:00:00 UTC,,,,,,,,,,,,3305323.41665792,,,
2009-11-13 00:00:00 UTC,,,,,,,,,,,,3989380.73193387,,,
2009-11-14 00:00:00 UTC,,,,,,,,,,,,3976774.96025597,,,
2009-11-15 00:00:00 UTC,,,,,,,,,,,,4670875.46067925,,,
2009-11-16 00:00:00 UTC,,,,,,,,,,,,4844717.91555127,,,
2009-11-17 00:00:00 UTC,,,,,,,,,,,,4545043.4934321,,,
2009-11-18 00:00:00 UTC,,,,,,,,,,,,3927520.41745089,,,
2009-11-19 00:00:00 UTC,,,,,,,,,,,,3501685.46576906,,,
2009-11-20 00:00:00 UTC,,,,,,,,,,,,4284505.13230484,,,
2009-11-21 00:00:00 UTC,,,,,,,,,,,,3597868.04149454,,,
2009-11-22 00:00:00 UTC,,,,,,,,,,,,5287894.1341758,,,
2009-11-23 00:00:00 UTC,,,,,,,,,,,,4762759.58942371,,,
2009-11-24 00:00:00 UTC,,,,,,,,,,,,4656958.16217603,,,
2009-11-25 00:00:00 UTC,,,,,,,,,,,,4482276.65719686,,,
2009-11-26 00:00:00 UTC,,,,,,,,,,,,4157282.07305662,,,
2009-11-27 00:00:00 UTC,,,,,,,,,,,,3646191.56221965,,,
2009-11-28 00:00:00 UTC,,,,,,,,,,,,3528612.33529276,,,
2009-11-29 00:00:00 UTC,,,,,,,,,,,,2989605.76533098,,,
2009-11-30 00:00:00 UTC,,,,,,,,,,,,3726157.00817823,,,
2009-12-01 00:00:00 UTC,,,,,,,,,,,,3641493.75851336,,,
2009-12-02 00:00:00 UTC,,,,,,,,,,,,4665691.20689695,,,
2009-12-03 00:00:00 UTC,,,,,,,,,,,,4518585.95311136,,,
2009-12-04 00:00:00 UTC,,,,,,,,,,,,1729014.18665712,,,
2009-12-05 00:00:00 UTC,,,,,,,,,,,,3214269.59171169,,,
2009-12-06 00:00:00 UTC,,,,,,,,,,,,5164148.66791184,,,
2009-12-07 00:00:00 UTC,,,,,,,,,,,,5506557.42701787,,,
2009-12-08 00:00:00 UTC,,,,,,,,,,,,5242940.95308958,,,
2009-12-09 00:00:00 UTC,,,,,,,,,,,,4767881.54693679,,,
2009-12-10 00:00:00 UTC,,,,,,,,,,,,5129673.72307268,,,
2009-12-11 00:00:00 UTC,,,,,,,,,,,,5694220.23665333,,,
2009-12-12 00:00:00 UTC,,,,,,,,,,,,5376529.52658412,,,
2009-12-13 00:00:00 UTC,,,,,,,,,,,,5649772.93359334,,,
2009-12-14 00:00:00 UTC,,,,,,,,,,,,5087996.37862071,,,
2009-12-15 00:00:00 UTC,,,,,,,,,,,,5511121.50992698,,,
2009-12-16 00:00:00 UTC,,,,,,,,,,,,6678430.33346672,,,
2009-12-17 00:00:00 UTC,,,,,,,,,,,,8367140.8994121,,,
2009-12-18 00:00:00 UTC,,,,,,,,,,,,11181445.8797121,,,
2009-12-19 00:00:00 UTC,,,,,,,,,,,,9904998.19008573,,,
2009-12-20 00:00:00 UTC,,,,,,,,,,,,8794880.43435017,,,
2009-12-21 00:00:00 UTC,,,,,,,,,,,,8575429.8649142,,,
2009-12-22 00:00:00 UTC,,,,,,,,,,,,8103995.03770223,,,
2009-12-23 00:00:00 UTC,,,,,,,,,,,,7580801.87488825,,,
