Date,market_dominance
2015-11-01,89.5
2015-11-02,89.87
2015-11-03,90.49
2015-11-04,91.36
2015-11-05,91.42
2015-11-06,91.31
2015-11-07,91.43
2015-11-08,91.2
2015-11-09,91.5
2015-11-10,91.0
2015-11-11,90.71
2015-11-12,90.78
2015-11-13,90.85
2015-11-14,90.71
2015-11-15,90.64
2015-11-16,90.94
2015-11-17,89.52
2015-11-18,90.83
2015-11-19,90.78
2015-11-20,90.85
2015-11-21,90.8
2015-11-22,90.81
2015-11-23,90.79
2015-11-24,90.79
2015-11-25,90.81
2015-11-26,91.17
2015-11-27,91.32
2015-11-28,91.23
2015-11-29,91.41
2015-11-30,91.64
2015-12-01,91.58
2015-12-02,91.58
2015-12-03,91.52
2015-12-04,91.26
2015-12-05,91.39
2015-12-06,91.44
2015-12-07,91.35
2015-12-08,91.02
2015-12-09,90.31
2015-12-10,90.26
2015-12-11,90.76
2015-12-12,90.52
2015-12-13,90.39
2015-12-14,90.98
2015-12-15,91.65
2015-12-16,91.59
2015-12-17,91.65
2015-12-18,91.87
2015-12-19,91.88
2015-12-20,91.8
2015-12-21,91.76
2015-12-22,91.83
2015-12-23,91.89
2015-12-24,92.11
2015-12-25,91.77
2015-12-26,91.56
2015-12-27,91.54
2015-12-28,91.58
2015-12-29,91.61
2015-12-30,91.48
2015-12-31,91.54
2016-01-01,91.67
2016-01-02,91.58
2016-01-03,91.38
2016-01-04,91.56
2016-01-05,91.16
2016-01-06,91.12
2016-01-07,91.46
2016-01-08,91.47
2016-01-09,91.24
2016-01-10,91.62
2016-01-11,91.62
2016-01-12,91.36
2016-01-13,91.27
2016-01-14,91.26
2016-01-15,90.5
2016-01-16,90.92
2016-01-17,90.71
2016-01-18,90.6
2016-01-19,90.58
2016-01-20,90.75
2016-01-21,90.7
2016-01-22,90.35
2016-01-23,90.27
2016-01-24,89.99
2016-01-25,89.48
2016-01-26,89.29
2016-01-27,88.57
2016-01-28,88.02
2016-01-29,88.02
2016-01-30,88.37
2016-01-31,88.41
2016-02-01,88.59
2016-02-02,88.34
2016-02-03,87.99
2016-02-04,88.26
2016-02-05,88.03
2016-02-06,87.53
2016-02-07,86.94
2016-02-08,86.78
2016-02-09,86.38
2016-02-10,85.78
2016-02-11,83.96
2016-02-12,84.29
2016-02-13,84.49
2016-02-14,84.86
2016-02-15,84.55
2016-02-16,85.65
2016-02-17,86.79
2016-02-18,86.31
2016-02-19,86.01
2016-02-20,86.57
2016-02-21,86.29
2016-02-22,85.43
2016-02-23,85.04
2016-02-24,84.59
2016-02-25,84.79
2016-02-26,84.93
2016-02-27,84.61
2016-02-28,84.56
2016-02-29,84.8
2016-03-01,83.71
2016-03-02,82.76
2016-03-03,81.55
2016-03-04,80.74
2016-03-05,79.6
2016-03-06,79.72
2016-03-07,81.16
2016-03-08,80.64
2016-03-09,78.87
2016-03-10,79.43
2016-03-11,79.24
2016-03-12,77.38
2016-03-13,76.39
2016-03-14,78.53
2016-03-15,78.06
2016-03-16,78.42
2016-03-17,79.69
2016-03-18,79.66
2016-03-19,79.83
2016-03-20,80.26
2016-03-21,78.78
2016-03-22,79.37
2016-03-23,78.36
2016-03-24,79.15
2016-03-25,79.55
2016-03-26,79.31
2016-03-27,80.21
2016-03-28,79.17
2016-03-29,78.89
2016-03-30,78.85
2016-03-31,79.34
2016-04-01,79.14
2016-04-02,79.2
2016-04-03,79.11
2016-04-04,79.32
2016-04-05,80.23
2016-04-06,80.02
2016-04-07,80.78
2016-04-08,80.96
2016-04-09,80.87
2016-04-10,82.34
2016-04-11,82.5
2016-04-12,83.61
2016-04-13,83.18
2016-04-14,82.63
2016-04-15,82.96
2016-04-16,82.61
2016-04-17,81.86
2016-04-18,81.88
2016-04-19,82.27
2016-04-20,82.61
2016-04-21,83.16
2016-04-22,83.37
2016-04-23,83.01
2016-04-24,83.41
2016-04-25,83.55
2016-04-26,84.27
2016-04-27,83.49
2016-04-28,83.99
2016-04-29,83.26
2016-04-30,81.93
2016-05-01,82.1
2016-05-02,81.11
2016-05-03,82.3
2016-05-04,82.24
2016-05-05,81.95
2016-05-06,82.6
2016-05-07,82.46
2016-05-08,82.42
2016-05-09,82.63
2016-05-10,82.45
2016-05-11,81.99
2016-05-12,81.98
2016-05-13,81.62
2016-05-14,81.87
2016-05-15,82.12
2016-05-16,81.17
2016-05-17,80.38
2016-05-18,79.52
2016-05-19,78.11
2016-05-20,78.76
2016-05-21,78.56
2016-05-22,78.23
2016-05-23,79.13
2016-05-24,79.66
2016-05-25,79.99
2016-05-26,79.71
2016-05-27,81.36
2016-05-28,82.56
2016-05-29,82.0
2016-05-30,81.93
2016-05-31,79.83
2016-06-01,80.04
2016-06-02,80.1
2016-06-03,80.79
2016-06-04,80.94
2016-06-05,80.82
2016-06-06,81.11
2016-06-07,80.62
2016-06-08,80.66
2016-06-09,80.45
2016-06-10,80.82
2016-06-11,81.23
2016-06-12,81.84
2016-06-13,81.37
2016-06-14,80.01
2016-06-15,80.3
2016-06-16,80.55
2016-06-17,83.2
2016-06-18,85.71
2016-06-19,85.03
2016-06-20,84.71
2016-06-21,83.15
2016-06-22,82.13
2016-06-23,82.07
2016-06-24,82.52
2016-06-25,82.42
2016-06-26,81.89
2016-06-27,81.9
2016-06-28,82.77
2016-06-29,82.33
2016-06-30,82.64
2016-07-01,83.26
2016-07-02,83.81
2016-07-03,83.32
2016-07-04,83.43
2016-07-05,83.9
2016-07-06,84.04
2016-07-07,84.06
2016-07-08,83.53
2016-07-09,83.48
2016-07-10,83.38
2016-07-11,83.35
2016-07-12,82.66
2016-07-13,81.73
2016-07-14,81.24
2016-07-15,81.2
2016-07-16,81.06
2016-07-17,81.63
2016-07-18,82.22
2016-07-19,80.92
2016-07-20,80.44
2016-07-21,80.31
2016-07-22,79.07
2016-07-23,80.2
